brand,model,year,km,color,date,fuel,gear,engine_volume,engine_power,price
Audi,Audi A4 Sedan 2.0 TDI,2012,136.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,165.000
Audi,Audi A4 Sedan 2.0 TDI,2014,166.000,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,198.500
Audi,Audi A4 Sedan 2.0 TDI Design,2017,62.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,318.000
Audi,Audi A6 Sedan 2.0 TDI,2016,90.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,395.000
Audi,Audi A3 Sedan 1.6 TDI Dynamic,2017,71.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1598,116,184.000
Audi,Audi A4 Sedan 2.0 TDI,2013,159.000,Siyah,27 Mayıs 2020,Dizel,Otomatik,1968,150,153.900
Audi,Audi A5 Sportback 2.0 TDI Quattro S Line,2017,50.000,Mavi,27 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,419.000
Audi,Audi A5 Sportback 1.4 TFSI,2017,138.000,Füme,27 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,126 - 150,400.000
Audi,Audi A5 Sportback 2.0 TFSI Quattro Design,2017,50.000,Mavi,27 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,419.000
Audi,Audi A4 Sedan 2.0 TDI,2011,226.500,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,155.000
Audi,Audi A3 Sportback 1.6 TDI Ambiente,2016,92.454,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1598,105,188.900
Audi,Audi A3 Sportback 1.6 TDI Attraction,2016,53.000,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,185.000
Audi,Audi A3 Cabrio 1.5 TFSI,2018,21.000,Beyaz,27 Mayıs 2020,Benzin,Yarı Otomatik,1401 - 1600,126 - 150,335.000
Audi,Audi A3 Sportback 30 TFSI Dynamic,2017,27.000,Beyaz,27 Mayıs 2020,Benzin,Yarı Otomatik,1401 - 1600,126 - 150,215.000
Audi,Audi A3 Sedan 1.6 TDI Design Line,2018,42.000,Füme,27 Mayıs 2020,Dizel,Otomatik,1401 - 1600,101 - 125,212.750
Audi,Audi A6 Sedan 40 TDI Quattro Design,2019,26.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1968,204,719.500
Audi,Audi A6 Sedan 2.0 TDI Quattro,2016,39.000,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,600.000
Audi,Audi A4 Sedan 2.0 TDI,2012,287.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1968,126 - 150,136.500
Audi,Audi A3 Sedan 1.6 TDI Design Line,2018,56.023,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1401 - 1600,101 - 125,222.000
Audi,Audi A3 Sportback 1.6 TDI Attraction,2014,62.000,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1598,105,185.000
Audi,Audi A4 Sedan 1.6,2003,284.000,Mavi,27 Mayıs 2020,Benzin,Düz,1595,102,49.900
Audi,Audi A6 Sedan 2.0 TDI,2008,211.000,Siyah,27 Mayıs 2020,Dizel,Otomatik,1801 - 2000,126 - 150,127.500
Audi,Audi A3 Sportback 1.6 Attraction,2012,111.000,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1598,105,130.000
Audi,Audi A3 Sedan 1.6 TDI Attraction,2014,116.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1401 - 1600,101 - 125,138.500
Audi,Audi A4 Sedan 1.8 TFSI,2010,280.000,Siyah,27 Mayıs 2020,Benzin,Yarı Otomatik,1601 - 1800,101 - 125,115.000
Audi,Audi A3 Sportback 1.6 TDI Design Line,2017,57.000,Gri,27 Mayıs 2020,Dizel,Yarı Otomatik,1598,116,227.500
Audi,Audi A5 Sportback 2.0 TDI,2014,151.000,Siyah,27 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,262.000
Audi,Audi A3 Cabrio 1.4 TFSI Ambiente,2015,56.000,Beyaz,27 Mayıs 2020,Benzin,Yarı Otomatik,1395,150,272.000
Audi,Audi A5 Sportback 2.0 TDI Quattro S Line,2018,79.000,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,525.000
Audi,Audi A5 Sportback 1.4 TFSI,2018,16.000,Siyah,27 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,126 - 150,426.950
Audi,Audi A4 Sedan 1.6,2000,245.000,Gri,27 Mayıs 2020,Benzin,Otomatik,1595,101,44.000
Audi,Audi A5 Sportback 2.0 TDI Quattro,2013,108.000,Beyaz,27 Mayıs 2020,Dizel,Yarı Otomatik,1968,177,288.000
Audi,Audi S3 2.0 T FSI Quattro,2008,169.000,Kırmızı,27 Mayıs 2020,Benzin,Düz,1984,265,157.500
Audi,Audi A3 Sportback 1.6 Attraction,2007,152.000,Siyah,27 Mayıs 2020,Benzin,Otomatik,1595,102,77.000
Audi,Audi A3 Sportback 1.4 TFSI Attraction,2012,59.000,Beyaz,27 Mayıs 2020,Benzin,Düz,1197,105,125.900
Audi,Audi 3.0 TDI,2020,0,Siyah,27 Mayıs 2020,Dizel,Otomatik,1801 - 2000,201 - 225,1.245.000
Audi,Audi A3 Sportback 1.6 Attraction,2012,155.000,Beyaz,26 Mayıs 2020,Dizel,Yarı Otomatik,1598,105,118.000
Audi,Audi A4 Sedan 2.0 TDI,2007,358.000,Füme,26 Mayıs 2020,Dizel,Otomatik,1968,140,78.000
Audi,Audi A3 Sportback 1.6 TDI Attraction,2012,140.000,Beyaz,26 Mayıs 2020,Dizel,Otomatik,1401 - 1600,101 - 125,135.900
Audi,Audi A6 Sedan 1.9 TDI,2004,315.000,Şampanya,26 Mayıs 2020,Dizel,Düz,1896,130,68.500
Audi,Audi A4 Sedan 2.0 TDI,2008,208.000,Gri,26 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,128.500
Audi,Audi A4 Sedan 2.0 TFSI Quattro,2010,182.000,Füme,26 Mayıs 2020,Benzin,Yarı Otomatik,1984,211,149.900
Audi,Audi A5 Coupe 2.0 TFSI Quattro,2012,133.000,Sarı,26 Mayıs 2020,Benzin,Yarı Otomatik,1984,211,252.500
Audi,Audi A3 Sportback 1.6 TDI Ambition,2016,107.000,Mavi,26 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,188.750
Audi,Audi A3 Sportback 1.6 Ambition,2012,146.500,Beyaz,26 Mayıs 2020,Dizel,Otomatik,1401 - 1600,101 - 125,139.900
Audi,Audi A3 Sportback 30 TFSI Sport,2020,0,Gri,26 Mayıs 2020,Benzin,Yarı Otomatik,1401 - 1600,126 - 150,265.250
Audi,Audi A3 Cabrio 1.4 TFSI Ambiente,2016,76.000,Kırmızı,26 Mayıs 2020,Benzin,Yarı Otomatik,1395,150,273.000
Audi,Audi A4 Sedan 1.4 TFSI,2018,14.938,Siyah,26 Mayıs 2020,Benzin,Yarı Otomatik,1395,150,309.500
Audi,Audi A3 Sportback 1.6 TDI Ambition,2015,92.000,Beyaz,26 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,201.500
Audi,Audi A3 Sedan 30 TDI Design,2019,27.000,Mavi,25 Mayıs 2020,Dizel,Yarı Otomatik,1598,116,244.950
Audi,Audi A3 Sportback 1.6 Attraction,2012,206.000,Beyaz,25 Mayıs 2020,Dizel,Yarı Otomatik,1598,105,122.500
Audi,Audi 2.0 TFSI Quattro,2014,81.108,Beyaz,25 Mayıs 2020,Benzin,Yarı Otomatik,1984,230,377.500
Audi,Audi A4 Sedan 2.0 TDI Advanced,2019,1.893,Füme,25 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,427.500
Audi,Audi A5 Sportback 2.0 TDI Quattro,2013,361.000,Gri,25 Mayıs 2020,Dizel,Yarı Otomatik,1968,177,185.000
Audi,Audi A4 Sedan 1.8 T,2003,231.000,Mavi,25 Mayıs 2020,Benzin,Otomatik,1601 - 1800,126 - 150,69.500
Audi,Audi A6 Sedan 2.0 TDI,2007,330.000,Siyah,25 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,127.000
Audi,Audi A3 Sedan 1.6 TDI Design Line,2016,49.000,Siyah,24 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,225.900
Audi,Audi A5 Coupe 1.8 TFSI,2010,105.000,Gri,24 Mayıs 2020,Benzin,Otomatik,1798,170,155.900
Audi,Audi A4 Sedan 2.0 TDI Quattro Design,2016,85.800,Gri (metalik),24 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,354.500
Audi,Audi A6 Sedan 2.0 TDI,2006,357.000,Şampanya,24 Mayıs 2020,Dizel,Düz,1968,140,105.000
Audi,Audi A4 Sedan 2.0 TDI,2011,226.000,Siyah,24 Mayıs 2020,Dizel,Otomatik,1968,143,142.000
Audi,Audi A6 Sedan 2.0 TDI,2011,334.000,Beyaz,24 Mayıs 2020,Dizel,Otomatik,1968,170,170.000
Audi,Audi A5 Sportback 2.0 TDI,2010,205.000,Beyaz,24 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,165.000
Audi,Audi A6 Sedan 2.0 TDI,2015,116.000,Füme,23 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,385.000
Audi,Audi A3 Sportback 1.6 Ambiente,2000,291.000,Kırmızı,23 Mayıs 2020,LPG &amp; Benzin,Düz,1595,101,39.750
Audi,Audi A5 Sportback 2.0 TDI Quattro,2013,89.000,Beyaz,23 Mayıs 2020,Dizel,Yarı Otomatik,1968,177,247.500
Audi,Audi A5 Sportback 2.0 TDI Quattro,2013,195.000,Siyah,23 Mayıs 2020,Dizel,Yarı Otomatik,1968,177,250.000
Audi,Audi A3 Sportback 1.6 FSI,2007,164.700,Siyah,23 Mayıs 2020,Benzin,Düz,1595,115,75.500
Audi,Audi A3 Sportback 1.4 TFSI Attraction,2009,146.000,Siyah,23 Mayıs 2020,Benzin,Yarı Otomatik,1201 - 1400,101 - 125,114.750
Audi,Audi S6 4.0 TFSI Quattro,2019,3.635,Siyah,23 Mayıs 2020,Benzin,Yarı Otomatik,3996,608,2.675.000
Audi,Audi A4 Sedan 2.0 TDI,2013,135.000,Beyaz,23 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,175.000
Audi,Audi A3 Sedan 1.6 TDI Attraction,2015,120.000,Siyah,23 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,161.000
Audi,Audi A6 Sedan 3.0 TDI Quattro,2014,199.000,Siyah,23 Mayıs 2020,Dizel,Yarı Otomatik,2967,272,309.000
Audi,Audi A6 Sedan 2.0 TDI,2011,340.000,Gri,23 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,151 - 175,132.500
Audi,Audi A3 Sportback 1.6 TDI Attraction,2013,165.000,Siyah,23 Mayıs 2020,Dizel,Yarı Otomatik,1601 - 1800,101 - 125,147.500
Audi,Audi A3 Sportback 1.6 Ambition,2005,230.000,Kırmızı,23 Mayıs 2020,Benzin,Otomatik,1401 - 1600,101 - 125,79.000
Audi,Audi A3 Sportback 1.6 TDI Ambition,2015,134.000,Mavi,23 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,191.000
Audi,Audi A3 Sportback 1.9 TDI Attraction,1999,197.000,Mavi,23 Mayıs 2020,Dizel,Düz,1401 - 1600,76 - 100,41.000
Audi,Audi A3 Sedan 1.6 TDI Sport Line,2016,55.000,Beyaz,23 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,231.500
Audi,Audi A3 Sportback 1.4 TFSI Attraction,2010,160.000,Siyah,23 Mayıs 2020,Benzin,Yarı Otomatik,1390,125,88.000
Audi,Audi A3 Sedan 1.6 TDI Design Line,2018,51.000,Siyah,23 Mayıs 2020,Dizel,Yarı Otomatik,1401 - 1600,101 - 125,229.000
Audi,Audi A4 Sedan 2.0 TDI Quattro,2014,208.000,Bordo,23 Mayıs 2020,Dizel,Yarı Otomatik,1968,177,172.000
Audi,Audi A3 Sportback 1.6 TDI Ambition,2013,135.000,Kırmızı,23 Mayıs 2020,Dizel,Yarı Otomatik,1598,105,159.000
Audi,Audi A3 Sportback 1.6 Attraction,2003,360.000,Gri,23 Mayıs 2020,Benzin,Düz,1401 - 1600,101 - 125,48.750
Audi,Audi A6 Sedan 3.0 TDI Quattro,2015,125.000,Siyah,23 Mayıs 2020,Dizel,Yarı Otomatik,2967,272,500.000
Audi,Audi A4 Sedan 40 TDI Quattro,2014,168.000,Siyah,23 Mayıs 2020,Dizel,Otomatik,1801 - 2000,176 - 200,175.000
Audi,Audi A4 Avant 2.5 TDI,1999,340.000,Yeşil,23 Mayıs 2020,Dizel,Düz,2496,150,49.900
Audi,Audi A4 Sedan 2.0 TDI,2012,172.000,Beyaz,23 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,153.000
Audi,Audi A6 Sedan 2.0 TDI,2012,256.000,Siyah,22 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,233.000
Audi,Audi A4 Sedan 2.0 TDI,2013,131.000,Siyah,22 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,126 - 150,163.750
Audi,Audi A6 Sedan 2.0 TDI,2014,142.000,Siyah,22 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,339.000
Audi,Audi A3 Sportback 1.6 TDI Ambiente,2014,269.000,Gri,22 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,129.000
Audi,Audi A5 Sportback 2.0 TDI,2015,72.000,Beyaz,22 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,325.000
Audi,Audi A3 Sportback 1.6 FSI,2005,240.000,Siyah,22 Mayıs 2020,Benzin,Düz,1595,115,57.500
Audi,Audi A3 Sedan 1.6 TDI Dynamic,2017,44.333,Siyah,22 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,215.900
Audi,Audi A4 Sedan 2.0 TDI,2012,276.000,Siyah,22 Mayıs 2020,Dizel,Otomatik,1968,143,128.000
Audi,Audi A5 Sportback 2.0 TDI,2011,200.000,Kırmızı,22 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,152.000
Audi,Audi A6 Sedan 2.0 TDI Quattro,2017,42.000,Mavi,22 Mayıs 2020,Dizel,Yarı Otomatik,1968,190,560.000
Audi,Audi A3 Sedan 1.6 TDI Dynamic,2016,165.000,Beyaz,22 Mayıs 2020,Dizel,Yarı Otomatik,1598,110,167.900
Audi,Audi A3 Sportback 1.6 TDI Design Line,2019,9.800,Siyah,22 Mayıs 2020,Dizel,Yarı Otomatik,1598,116,255.000
Audi,Audi A4 Sedan 2.0 TDI,2012,195.000,Siyah,22 Mayıs 2020,Dizel,Yarı Otomatik,1801 - 2000,176 - 200,167.850
